Sub-circuit,Part,Value,Device,Package,Description,Manufacturer,Manufacturer Product #
5. Analogue inputs,C53,100nF,C-EUC0805,C0805,"CAPACITOR (X7R, 50V general purpose ceramic cap)",Yageo ,CC0805KRX7R9BB104
5. Analogue inputs,C54,10uF,C-EUC1206,C1206,"CAPACITOR (X7R, 16V general purpose ceramic cap)",Kemet ,C1206C106K4PAC
5. Analogue inputs,C55,100nF,C-EUC0805,C0805,"CAPACITOR (X7R, 50V general purpose ceramic cap)",Yageo ,CC0805KRX7R9BB104
5. Analogue inputs,C56,100nF,C-EUC0805,C0805,"CAPACITOR (X7R, 50V general purpose ceramic cap)",Yageo ,CC0805KRX7R9BB104
5. Analogue inputs,C57,n.i.,C-EUC0805,C0805,CAPACITOR,,
5. Analogue inputs,C58,n.i.,C-EUC0805,C0805,CAPACITOR,,
5. Analogue inputs,C59,n.i.,C-EUC0805,C0805,CAPACITOR,,
5. Analogue inputs,C60,n.i.,C-EUC0805,C0805,CAPACITOR,,
5. Analogue inputs,C61,n.i.,C-EUC0805,C0805,CAPACITOR,,
5. Analogue inputs,C62,n.i.,C-EUC0805,C0805,CAPACITOR,,
5. Analogue inputs,C63,n.i.,C-EUC0805,C0805,CAPACITOR,,
5. Analogue inputs,C64,n.i.,C-EUC0805,C0805,CAPACITOR,,
5. Analogue inputs,C65,100nF,C-EUC0805,C0805,"CAPACITOR (X7R, 50V general purpose ceramic cap)",Yageo ,CC0805KRX7R9BB104
5. Analogue inputs,C66,100nF,C-EUC0805,C0805,"CAPACITOR (X7R, 50V general purpose ceramic cap)",Yageo ,CC0805KRX7R9BB104
5. Analogue inputs,J50,,PSS 254/5W,MOLEX-1X5_ANGLED,"CONNECTOR (Printstecker, Einzelstecker, gewinkelt, 5-polig)",Würth Elektronik,61900511021
5. Analogue inputs,J51,,PSS 254/3W,MOLEX-1X3_ANGLED,"CONNECTOR (Printstecker, Einzelstecker, gewinkelt, 3-polig)",Würth Elektronik,61900311021
5. Analogue inputs,R500,75k?,R-EU_R0805,R0805,RESISTOR,Panasonic,ERA-6APB753V
5. Analogue inputs,R501,16k?,R-EU_R0805,R0805,RESISTOR,Panasonic,ERA-6AEB163V
5. Analogue inputs,R502,10k?,R-EU_R0805,R0805,RESISTOR,Panasonic,ERA-6YEB103V
5. Analogue inputs,R503,10k?,R-EU_R0805,R0805,RESISTOR,Panasonic,ERA-6YEB103V
5. Analogue inputs,R510,"71,5k?",R-EU_R0805,R0805,RESISTOR,Panasonic,ERA-6AEB7152V
5. Analogue inputs,R511,6.2k?,R-EU_R0805,R0805,RESISTOR,Panasonic,ERA-6AEB622V
5. Analogue inputs,R512,33.2k?,R-EU_R0805,R0805,RESISTOR,Panasonic,ERA-6AEB3322V
5. Analogue inputs,R513,0?,R-EU_R0805,R0805,RESISTOR,Panasonic,ERJ-6GEY0R00V
5. Analogue inputs,R520,47.5k?,R-EU_R0805,R0805,RESISTOR,Microtech ,CMF080547k50.110
5. Analogue inputs,R521,0?,R-EU_R0805,R0805,RESISTOR,Panasonic,ERJ-6GEY0R00V
5. Analogue inputs,R522,47k?,R-EU_R0805,R0805,RESISTOR,Panasonic,ERA-6AEB473V
5. Analogue inputs,R523,10k?,R-EU_R0805,R0805,RESISTOR,Panasonic,ERA-6YEB103V
5. Analogue inputs,R530,5?,ERJ-P14,R1210,Anti-Surge Thick Film Chip Resistors,Panasonic,ERJ-P14J4R7U
5. Analogue inputs,R531,5?,ERJ-P14,R1210,Anti-Surge Thick Film Chip Resistors,Panasonic,ERJ-P14J4R7U
5. Analogue inputs,R532,90.9k?,R-EU_R0805,R0805,RESISTOR,Panasonic,ERJ-1GEF9092C 
5. Analogue inputs,R533,51k?,R-EU_R0805,R0805,RESISTOR,Panasonic,ERA-6APB513V
5. Analogue inputs,R534,1k?,HP05W3,R0805,Thick Film Chip Resistors,Royalohm,HP05W3F1001T5E
5. Analogue inputs,R535,1k?,HP05W3,R0805,Thick Film Chip Resistors,Royalohm,HP05W3F1001T5E
5. Analogue inputs,R536,1k?,HP05W3,R0805,Thick Film Chip Resistors,Royalohm,HP05W3F1001T5E
5. Analogue inputs,R537,1k?,HP05W3,R0805,Thick Film Chip Resistors,Royalohm,HP05W3F1001T5E
5. Analogue inputs,U50,,MCP6001T-I/OT,SOT23-5,Single low-power OPAMP,Microchip Technology,MCP6001T-I/OT
5. Analogue inputs,U51,,MCP6004-I/SL,SOIC-14,Quad low-power OPAMP,Microchip Technology,MCP6004-I/SL
5. Analogue inputs,U52,,MAX4662,SSOP16,"2.5W, Quad, SPST, CMOS Analog Switches",Maxim Integrated,
